sample,replicate,pasture,invasion,soil.treatment,week,height,log.height
ESI.MS1,1,el.salto,Invaded,MSS,week3,20.32,3.011605623
ESI.MS2,2,el.salto,Invaded,MSS,week3,18.0975,2.895773807
ESI.MS3,3,el.salto,Invaded,MSS,week3,38.735,3.656743584
ESI.MS4,4,el.salto,Invaded,MSS,week3,48.895,3.889675142
ESI.MS5,5,el.salto,Invaded,MSS,week3,56.1975,4.028872272
ESI.IS1,1,el.salto,Invaded,ISS,week3,24.765,3.209431366
ESI.IS2,2,el.salto,Invaded,ISS,week3,32.385,3.477695353
ESI.IS3,3,el.salto,Invaded,ISS,week3,54.2925,3.994386096
ESI.IS4,4,el.salto,Invaded,ISS,week3,44.1325,3.787196472
ESI.IS5,5,el.salto,Invaded,ISS,week3,17.145,2.841706586
NCI.MS1,1,north.cuates,Invaded,MSS,week3,20.6375,3.027109809
NCI.MS2,2,north.cuates,Invaded,MSS,week3,53.975,3.988520976
NCI.MS3,3,north.cuates,Invaded,MSS,week3,60.325,4.099746612
NCI.MS4,4,north.cuates,Invaded,MSS,week3,65.405,4.180598708
NCI.MS5,5,north.cuates,Invaded,MSS,week3,53.975,3.988520976
NCI.IS1,1,north.cuates,Invaded,ISS,week3,49.53,3.902578547
NCI.IS2,2,north.cuates,Invaded,ISS,week3,54.61,4.000217016
NCI.IS3,3,north.cuates,Invaded,ISS,week3,40.005,3.689004446
NCI.IS4,4,north.cuates,Invaded,ISS,week3,19.685,2.979856924
NCI.IS5,5,north.cuates,Invaded,ISS,week3,39.0525,3.664906895
FI.MS1,1,finner,Invaded,MSS,week3,25.4,3.234749174
FI.MS2,2,finner,Invaded,MSS,week3,51.435,3.940318875
FI.MS3,3,finner,Invaded,MSS,week3,66.04,4.190260619
FI.MS4,4,finner,Invaded,MSS,week3,65.405,4.180598708
FI.MS5,5,finner,Invaded,MSS,week3,57.785,4.056729226
FI.IS1,1,finner,Invaded,ISS,week3,55.5625,4.017508513
FI.IS2,2,finner,Invaded,ISS,week3,65.7225,4.185441333
FI.IS3,3,finner,Invaded,ISS,week3,72.39,4.282068168
FI.IS4,4,finner,Invaded,ISS,week3,22.86,3.129388658
FI.IS5,5,finner,Invaded,ISS,week3,60.6425,4.104995967
ESUI.MS1,1,el.salto,Uninvaded,MSS,week3,31.75,3.457892725
ESUI.MS2,2,el.salto,Uninvaded,MSS,week3,40.005,3.689004446
ESUI.MS3,3,el.salto,Uninvaded,MSS,week3,23.1775,3.14318198
ESUI.MS4,4,el.salto,Uninvaded,MSS,week3,19.05,2.947067102
ESUI.MS5,5,el.salto,Uninvaded,MSS,week3,20.32,3.011605623
ESUI.IS1,1,el.salto,Uninvaded,ISS,week3,23.1775,3.14318198
ESUI.IS2,2,el.salto,Uninvaded,ISS,week3,29.21,3.374511116
ESUI.IS3,3,el.salto,Uninvaded,ISS,week3,24.13,3.18345588
ESUI.IS4,4,el.salto,Uninvaded,ISS,week3,15.875,2.764745545
ESUI.IS5,5,el.salto,Uninvaded,ISS,week3,20.6375,3.027109809
NCUI.MS2,2,north.cuates,Uninvaded,MSS,week3,11.43,2.436241478
NCUI.MS3,3,north.cuates,Uninvaded,MSS,week3,7.62,2.03077637
NCUI.MS5,5,north.cuates,Uninvaded,MSS,week3,12.7,2.541601993
NCUI.IS1,1,north.cuates,Uninvaded,ISS,week3,28.575,3.35253221
NCUI.IS2,2,north.cuates,Uninvaded,ISS,week3,30.48,3.417070731
NCUI.IS3,3,north.cuates,Uninvaded,ISS,week3,20.6375,3.027109809
NCUI.IS4,4,north.cuates,Uninvaded,ISS,week3,20.6375,3.027109809
NCUI.IS5,5,north.cuates,Uninvaded,ISS,week3,8.89,2.18492705
FUI.MS1,1,finner,Uninvaded,MSS,week3,20.6375,3.027109809
FUI.MS2,2,finner,Uninvaded,MSS,week3,26.035,3.259441787
FUI.MS3,3,finner,Uninvaded,MSS,week3,24.765,3.209431366
FUI.MS4,4,finner,Uninvaded,MSS,week3,24.13,3.18345588
FUI.MS5,5,finner,Uninvaded,MSS,week3,10.16,2.318458442
FUI.IS1,1,finner,Uninvaded,ISS,week3,13.335,2.590392158
FUI.IS2,2,finner,Uninvaded,ISS,week3,16.1925,2.784548172
FUI.IS3,3,finner,Uninvaded,ISS,week3,15.5575,2.744542837
FUI.IS4,4,finner,Uninvaded,ISS,week3,22.86,3.129388658
ESI.MS1,1,el.salto,Invaded,MSS,week4,22.5425,3.115402416
ESI.MS2,2,el.salto,Invaded,MSS,week4,19.05,2.947067102
ESI.MS3,3,el.salto,Invaded,MSS,week4,40.9575,3.712534944
ESI.MS4,4,el.salto,Invaded,MSS,week4,49.2125,3.896147656
ESI.MS5,5,el.salto,Invaded,MSS,week4,59.69,4.089164502
ESI.IS1,1,el.salto,Invaded,ISS,week4,25.4,3.234749174
ESI.IS2,2,el.salto,Invaded,ISS,week4,33.02,3.497113438
ESI.IS3,3,el.salto,Invaded,ISS,week4,53.975,3.988520976
ESI.IS4,4,el.salto,Invaded,ISS,week4,44.45,3.794364962
ESI.IS5,5,el.salto,Invaded,ISS,week4,17.4625,2.860055725
NCI.MS1,1,north.cuates,Invaded,MSS,week4,19.685,2.979856924
NCI.MS2,2,north.cuates,Invaded,MSS,week4,58.7375,4.073078364
NCI.MS3,3,north.cuates,Invaded,MSS,week4,60.325,4.099746612
NCI.MS4,4,north.cuates,Invaded,MSS,week4,66.04,4.190260619
NCI.MS5,5,north.cuates,Invaded,MSS,week4,58.1025,4.062208692
NCI.IS1,1,north.cuates,Invaded,ISS,week4,50.165,3.915317572
NCI.IS2,2,north.cuates,Invaded,ISS,week4,54.61,4.000217016
NCI.IS3,3,north.cuates,Invaded,ISS,week4,40.9575,3.712534944
NCI.IS4,4,north.cuates,Invaded,ISS,week4,20.955,3.042377281
NCI.IS5,5,north.cuates,Invaded,ISS,week4,39.0525,3.664906895
FI.MS1,1,finner,Invaded,MSS,week4,27.94,3.330059354
FI.MS2,2,finner,Invaded,MSS,week4,50.8,3.927896355
FI.MS3,3,finner,Invaded,MSS,week4,65.7225,4.185441333
FI.MS4,4,finner,Invaded,MSS,week4,65.0875,4.175732518
FI.MS5,5,finner,Invaded,MSS,week4,57.785,4.056729226
FI.IS1,1,finner,Invaded,ISS,week4,53.0225,3.970716352
FI.IS2,2,finner,Invaded,ISS,week4,70.1675,4.250885241
FI.IS3,3,finner,Invaded,ISS,week4,75.565,4.324993213
FI.IS4,4,finner,Invaded,ISS,week4,23.1775,3.14318198
FI.IS5,5,finner,Invaded,ISS,week4,60.325,4.099746612
ESUI.MS1,1,el.salto,Uninvaded,MSS,week4,31.75,3.457892725
ESUI.MS2,2,el.salto,Uninvaded,MSS,week4,39.6875,3.681036277
ESUI.MS3,3,el.salto,Uninvaded,MSS,week4,24.13,3.18345588
ESUI.MS4,4,el.salto,Uninvaded,MSS,week4,20.32,3.011605623
ESUI.MS5,5,el.salto,Uninvaded,MSS,week4,20.32,3.011605623
ESUI.IS1,1,el.salto,Uninvaded,ISS,week4,25.4,3.234749174
ESUI.IS2,2,el.salto,Uninvaded,ISS,week4,29.21,3.374511116
ESUI.IS3,3,el.salto,Uninvaded,ISS,week4,24.13,3.18345588
ESUI.IS4,4,el.salto,Uninvaded,ISS,week4,16.1925,2.784548172
ESUI.IS5,5,el.salto,Uninvaded,ISS,week4,20.955,3.042377281
NCUI.MS2,2,north.cuates,Uninvaded,MSS,week4,13.0175,2.566294606
NCUI.MS3,3,north.cuates,Uninvaded,MSS,week4,9.8425,2.286709744
NCUI.MS5,5,north.cuates,Uninvaded,MSS,week4,13.335,2.590392158
NCUI.IS1,1,north.cuates,Uninvaded,ISS,week4,28.575,3.35253221
NCUI.IS2,2,north.cuates,Uninvaded,ISS,week4,31.115,3.437690018
NCUI.IS3,3,north.cuates,Uninvaded,ISS,week4,20.955,3.042377281
NCUI.IS4,4,north.cuates,Uninvaded,ISS,week4,20.955,3.042377281
NCUI.IS5,5,north.cuates,Uninvaded,ISS,week4,9.2075,2.220018369
FUI.MS1,1,finner,Uninvaded,MSS,week4,21.9075,3.086829044
FUI.MS2,2,finner,Uninvaded,MSS,week4,26.9875,3.295373796
FUI.MS3,3,finner,Uninvaded,MSS,week4,24.13,3.18345588
